Ano de eleição;Município;UF;Região;Turno;Nome candidato;Cargo;Votos válidos;Votos nominais;Data de carga
2018;IGUARAÇU;PR;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;2696;1858;2023-03-31 10:03:12
2018;ABADIA DOS DOURADOS;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;3649;329;2023-03-31 10:03:12
2018;SÃO PAULO;SP;SUDESTE;2;MARCIO LUIZ FRANÇA GOMES;Governador;5840401;3393092;2023-03-31 10:03:12
2018;PIRACURUCA;PI;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;16935;3782;2023-03-31 10:03:12
2018;BOM SUCESSO;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;9447;5548;2023-03-31 10:03:12
2018;PORTO ALEGRE;RS;SUL;2;FERNANDO HADDAD;Presidente;768062;331419;2023-03-31 10:03:12
2018;CHÃ GRANDE;PE;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;12825;3750;2023-03-31 10:03:12
2018;CAPIVARI;SP;SUDESTE;2;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;Governador;23800;16689;2023-03-31 10:03:12
2018;MACAU;RN;NORDESTE;2;MARIA DE FATIMA BEZERRA;Governador;15468;11590;2023-03-31 10:03:12
2018;PAULA CÂNDIDO;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;4443;1661;2023-03-31 10:03:12
2018;SÃO JOSÉ DA SAFIRA;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;2301;1016;2023-03-31 10:03:12
2018;SÃO JOÃO DO SOTER;MA;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;8770;822;2023-03-31 10:03:12
2018;SANTA MARIA DO PARÁ;PA;NORTE;2;FERNANDO HADDAD;Presidente;14694;8299;2023-03-31 10:03:12
2018;RIOLÂNDIA;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;4605;2102;2023-03-31 10:03:12
2018;ITACARAMBI;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;6682;2794;2023-03-31 10:03:12
2018;OURO VERDE DE MINAS;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;3688;2185;2023-03-31 10:03:12
2018;CASTANHEIRA;MT;CENTRO-OESTE;2;FERNANDO HADDAD;Presidente;3886;1520;2023-03-31 10:03:12
2018;MONSENHOR HIPÓLITO;PI;NORDESTE;2;FERNANDO HADDAD;Presidente;4947;4190;2023-03-31 10:03:12
2018;EWBANK DA CÂMARA;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;2334;967;2023-03-31 10:03:12
2018;VILA NOVA DO PIAUÍ;PI;NORDESTE;2;FERNANDO HADDAD;Presidente;2156;1810;2023-03-31 10:03:12
2018;PATO BRAGADO;PR;SUL;2;FERNANDO HADDAD;Presidente;3396;724;2023-03-31 10:03:12
2018;SANTA BÁRBARA DE GOIÁS;GO;CENTRO-OESTE;2;FERNANDO HADDAD;Presidente;3850;1411;2023-03-31 10:03:12
2018;LAPÃO;BA;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;15617;2751;2023-03-31 10:03:12
2018;GUAJARÁ;AM;NORTE;2;FERNANDO HADDAD;Presidente;5618;2782;2023-03-31 10:03:12
2018;ESPIGÃO DO OESTE;RO;NORTE;2;FERNANDO HADDAD;Presidente;17129;4593;2023-03-31 10:03:12
2018;ALTO ALEGRE;RS;SUL;2;JOSÉ IVO SARTORI;Governador;1302;502;2023-03-31 10:03:12
2018;ARIRANHA;SP;SUDESTE;2;MARCIO LUIZ FRANÇA GOMES;Governador;4562;1885;2023-03-31 10:03:12
2018;GUARULHOS;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;601117;397523;2023-03-31 10:03:12
2018;SÃO VENDELINO;RS;SUL;2;FERNANDO HADDAD;Presidente;1744;397;2023-03-31 10:03:12
2018;MARÍLIA;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;117660;94124;2023-03-31 10:03:12
2018;CAXAMBU;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;11301;6550;2023-03-31 10:03:12
2018;CAREIRO DA VÁRZEA;AM;NORTE;2;WILSON MIRANDA LIMA;Governador;10011;6512;2023-03-31 10:03:12
2018;IAÇU;BA;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;13405;2169;2023-03-31 10:03:12
2018;PORTO NACIONAL;TO;NORTE;2;JAIR MESSIAS BOLSONARO;Presidente;28869;13764;2023-03-31 10:03:12
2018;MONTE CASTELO;SC;SUL;2;FERNANDO HADDAD;Presidente;4950;1810;2023-03-31 10:03:12
2018;CATAS ALTAS DA NORUEGA;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;2258;1303;2023-03-31 10:03:12
2018;CORUMBIARA;RO;NORTE;2;MARCOS JOSE ROCHA DOS SANTOS;Governador;4052;2185;2023-03-31 10:03:12
2018;ARIRANHA;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;4875;1207;2023-03-31 10:03:12
2018;SÃO RAIMUNDO NONATO;PI;NORDESTE;2;FERNANDO HADDAD;Presidente;18219;15701;2023-03-31 10:03:12
2018;ILHÉUS;BA;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;89820;35315;2023-03-31 10:03:12
2018;SOUSA;PB;NORDESTE;2;FERNANDO HADDAD;Presidente;36066;26445;2023-03-31 10:03:12
2018;DESTERRO DO MELO;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;2254;1112;2023-03-31 10:03:12
2018;MARTINS;RN;NORDESTE;2;FERNANDO HADDAD;Presidente;4791;3487;2023-03-31 10:03:12
2018;LONDRINA;PR;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;286584;230473;2023-03-31 10:03:12
2018;RODOLFO FERNANDES;RN;NORDESTE;2;FERNANDO HADDAD;Presidente;2967;2421;2023-03-31 10:03:12
2018;SERRA DO MEL;RN;NORDESTE;2;MARIA DE FATIMA BEZERRA;Governador;7111;4231;2023-03-31 10:03:12
2018;TURUÇU;RS;SUL;2;EDUARDO FIGUEIREDO CAVALHEIRO LEITE;Governador;2587;2255;2023-03-31 10:03:12
2018;SABOEIRO;CE;NORDESTE;2;FERNANDO HADDAD;Presidente;8551;7398;2023-03-31 10:03:12
2018;TIROS;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;3647;2832;2023-03-31 10:03:12
2018;BARREIRINHA;AM;NORTE;2;FERNANDO HADDAD;Presidente;12647;11611;2023-03-31 10:03:12
2018;TROMBUDO CENTRAL;SC;SUL;2;CARLOS MOISÉS DA SILVA;Governador;3871;3188;2023-03-31 10:03:12
2018;JANDAÍRA;RN;NORDESTE;2;FERNANDO HADDAD;Presidente;3982;2952;2023-03-31 10:03:12
2018;SANTANA DO SÃO FRANCISCO;SE;NORDESTE;2;ANTONIO CARLOS VALADARES FILHO;Governador;3713;1274;2023-03-31 10:03:12
2018;FRANCISCO BADARÓ;MG;SUDESTE;2;ROMEU ZEMA NETO;Governador;3327;1962;2023-03-31 10:03:12
2018;SAUDADE DO IGUAÇU;PR;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;3577;1605;2023-03-31 10:03:12
2018;PALESTINA;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;6049;4109;2023-03-31 10:03:12
2018;SÃO JOÃO DE MERITI;RJ;SUDESTE;2;EDUARDO DA COSTA PAES;Governador;229878;75126;2023-03-31 10:03:12
2018;SANDOVALINA;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;2306;983;2023-03-31 10:03:12
2018;LAJES;RN;NORDESTE;2;CARLOS EDUARDO NUNES ALVES;Governador;6040;1633;2023-03-31 10:03:12
2018;JABORANDI;BA;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;5879;1252;2023-03-31 10:03:12
2018;BENJAMIN CONSTANT DO SUL;RS;SUL;2;EDUARDO FIGUEIREDO CAVALHEIRO LEITE;Governador;1161;719;2023-03-31 10:03:12
2018;PORTO VITÓRIA;PR;SUL;2;FERNANDO HADDAD;Presidente;2318;893;2023-03-31 10:03:12
2018;IJUÍ;RS;SUL;2;JOSÉ IVO SARTORI;Governador;46251;23048;2023-03-31 10:03:12
2018;VALE VERDE;RS;SUL;2;JOSÉ IVO SARTORI;Governador;2107;801;2023-03-31 10:03:12
2018;BOREBI;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;1541;1046;2023-03-31 10:03:12
2018;ANGICOS;RN;NORDESTE;2;FERNANDO HADDAD;Presidente;6762;4434;2023-03-31 10:03:12
2018;CANTAGALO;RJ;SUDESTE;2;EDUARDO DA COSTA PAES;Governador;9290;2490;2023-03-31 10:03:12
2018;CACOAL;RO;NORTE;2;JAIR MESSIAS BOLSONARO;Presidente;46053;35962;2023-03-31 10:03:12
2018;MARIÁPOLIS;SP;SUDESTE;2;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;Governador;1921;782;2023-03-31 10:03:12
2018;PEDRO OSÓRIO;RS;SUL;2;FERNANDO HADDAD;Presidente;4715;2904;2023-03-31 10:03:12
2018;CARNAUBAIS;RN;NORDESTE;2;MARIA DE FATIMA BEZERRA;Governador;6280;4709;2023-03-31 10:03:12
2018;BERNARDINO DE CAMPOS;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;5526;4140;2023-03-31 10:03:12
2018;COLÔMBIA;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;3640;1480;2023-03-31 10:03:12
2018;LAURENTINO;SC;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;4556;3812;2023-03-31 10:03:12
2018;SOORETAMA;ES;SUDESTE;2;FERNANDO HADDAD;Presidente;12760;6269;2023-03-31 10:03:12
2018;LEOPOLDO DE BULHÕES;GO;CENTRO-OESTE;2;JAIR MESSIAS BOLSONARO;Presidente;4088;2457;2023-03-31 10:03:12
2018;PARAÍSO;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;3272;765;2023-03-31 10:03:12
2018;VILHENA;RO;NORTE;2;MARCOS JOSE ROCHA DOS SANTOS;Governador;43492;31720;2023-03-31 10:03:12
2018;CUMBE;SE;NORDESTE;2;ANTONIO CARLOS VALADARES FILHO;Governador;2710;1126;2023-03-31 10:03:12
2018;RODRIGUES ALVES;AC;NORTE;2;JAIR MESSIAS BOLSONARO;Presidente;6444;4762;2023-03-31 10:03:12
2018;PIRACEMA;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;3624;997;2023-03-31 10:03:12
2018;PADRE CARVALHO;MG;SUDESTE;2;ROMEU ZEMA NETO;Governador;2427;1574;2023-03-31 10:03:12
2018;TOBIAS BARRETO;SE;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;28024;6832;2023-03-31 10:03:12
2018;MIGUELÓPOLIS;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;9614;5545;2023-03-31 10:03:12
2018;MAR DE ESPANHA;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;6894;3904;2023-03-31 10:03:12
2018;SÃO GERALDO DO BAIXIO;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;1849;777;2023-03-31 10:03:12
2018;JACARAÚ;PB;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;9154;2413;2023-03-31 10:03:12
2018;MIRADOR;MA;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;10400;1514;2023-03-31 10:03:12
2018;FREI MIGUELINHO;PE;NORDESTE;2;FERNANDO HADDAD;Presidente;8968;6818;2023-03-31 10:03:12
2018;BOA HORA;PI;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;4272;630;2023-03-31 10:03:12
2018;RIO CLARO;RJ;SUDESTE;2;FERNANDO HADDAD;Presidente;10058;4138;2023-03-31 10:03:12
2018;CONCEIÇÃO DA FEIRA;BA;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;12455;2533;2023-03-31 10:03:12
2018;MARACANAÚ;CE;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;123295;48472;2023-03-31 10:03:12
2018;APODI;RN;NORDESTE;2;CARLOS EDUARDO NUNES ALVES;Governador;21575;6902;2023-03-31 10:03:12
2018;ENCRUZILHADA DO SUL;RS;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;13157;6116;2023-03-31 10:03:12
2018;BARRA FUNDA;RS;SUL;2;JOSÉ IVO SARTORI;Governador;1935;958;2023-03-31 10:03:12
2018;VALE DO PARAÍSO;RO;NORTE;2;JAIR MESSIAS BOLSONARO;Presidente;4022;2615;2023-03-31 10:03:12
2018;BONFINÓPOLIS;GO;CENTRO-OESTE;2;FERNANDO HADDAD;Presidente;4240;1677;2023-03-31 10:03:12
2018;UNAÍ;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;41041;27649;2023-03-31 10:03:12
2018;VÁRZEA PAULISTA;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;55256;39776;2023-03-31 10:03:12
2018;MONTE MOR;SP;SUDESTE;2;MARCIO LUIZ FRANÇA GOMES;Governador;23992;10326;2023-03-31 10:03:12
2018;PINHAL;RS;SUL;2;JOSÉ IVO SARTORI;Governador;1534;624;2023-03-31 10:03:12
2018;ITAPEMA;SC;SUL;2;GELSON LUIZ MERÍSIO;Governador;29029;5960;2023-03-31 10:03:12
2018;OURO PRETO;MG;SUDESTE;2;ROMEU ZEMA NETO;Governador;35987;26003;2023-03-31 10:03:12
2018;QUELUZ;SP;SUDESTE;2;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;Governador;4295;1916;2023-03-31 10:03:12
2018;EUGENÓPOLIS;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;5063;1621;2023-03-31 10:03:12
2018;QUINJINGUE;BA;NORDESTE;2;FERNANDO HADDAD;Presidente;14394;11907;2023-03-31 10:03:12
2018;SÃO JOÃO DO PIAUÍ;PI;NORDESTE;2;FERNANDO HADDAD;Presidente;11038;9233;2023-03-31 10:03:12
2018;CONGONHAS;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;28119;16554;2023-03-31 10:03:12
2018;MONSENHOR HIPÓLITO;PI;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;4947;757;2023-03-31 10:03:12
2018;SÃO VICENTE;SP;SUDESTE;2;MARCIO LUIZ FRANÇA GOMES;Governador;171814;125567;2023-03-31 10:03:12
2018;BOCAIÚVA;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;23336;15564;2023-03-31 10:03:12
2018;CRUZÁLIA;SP;SUDESTE;2;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;Governador;1525;859;2023-03-31 10:03:12
2018;RIACHÃO DO DANTAS;SE;NORDESTE;2;BELIVALDO CHAGAS SILVA;Governador;11423;8367;2023-03-31 10:03:12
2018;POÇO BRANCO;RN;NORDESTE;2;FERNANDO HADDAD;Presidente;7882;6548;2023-03-31 10:03:12
2018;ALMINO AFONSO;RN;NORDESTE;2;MARIA DE FATIMA BEZERRA;Governador;3450;2666;2023-03-31 10:03:12
2018;BIRITIBA MIRIM;SP;SUDESTE;2;MARCIO LUIZ FRANÇA GOMES;Governador;14547;6887;2023-03-31 10:03:12
2018;PARECIS;RO;NORTE;2;MARCOS JOSE ROCHA DOS SANTOS;Governador;2194;1138;2023-03-31 10:03:12
2018;PORTÃO;RS;SUL;2;FERNANDO HADDAD;Presidente;17486;5801;2023-03-31 10:03:12
2018;ORLÂNDIA;SP;SUDESTE;2;MARCIO LUIZ FRANÇA GOMES;Governador;18916;7320;2023-03-31 10:03:12
2018;IBITIÚRA DE MINAS;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;2279;443;2023-03-31 10:03:12
2018;SENADOR GEORGINO AVELINO;RN;NORDESTE;2;FERNANDO HADDAD;Presidente;2662;1760;2023-03-31 10:03:12
2018;TAQUARAL;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;1497;465;2023-03-31 10:03:12
2018;CACHOEIRINHA;RS;SUL;2;EDUARDO FIGUEIREDO CAVALHEIRO LEITE;Governador;68920;32047;2023-03-31 10:03:12
2018;JAPORÃ;MS;CENTRO-OESTE;2;ODILON DE OLIVEIRA;Governador;3684;783;2023-03-31 10:03:12
2018;NOVA ITABERABA;SC;SUL;2;CARLOS MOISÉS DA SILVA;Governador;2794;1452;2023-03-31 10:03:12
2018;CHAPADÃO DO LAGEADO;SC;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;1987;1375;2023-03-31 10:03:12
2018;JAMPRUCA;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;2569;842;2023-03-31 10:03:12
2018;CAFARNAUM;BA;NORDESTE;2;FERNANDO HADDAD;Presidente;9304;7181;2023-03-31 10:03:12
2018;CEDRAL;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;4881;3890;2023-03-31 10:03:12
2018;SERAFINA CORRÊA;RS;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;9460;7339;2023-03-31 10:03:12
2018;AMPARO DO SERRA;MG;SUDESTE;2;ROMEU ZEMA NETO;Governador;2512;1654;2023-03-31 10:03:12
2018;SÃO JOSÉ DO SUL;RS;SUL;2;FERNANDO HADDAD;Presidente;1448;340;2023-03-31 10:03:12
2018;BADY BASSITT;SP;SUDESTE;2;MARCIO LUIZ FRANÇA GOMES;Governador;8356;3552;2023-03-31 10:03:12
2018;CAMOCIM DE SÃO FÉLIX;PE;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;10523;2867;2023-03-31 10:03:12
2018;ÁGUAS DE CHAPECÓ;SC;SUL;2;GELSON LUIZ MERÍSIO;Governador;3202;1755;2023-03-31 10:03:12
2018;AMPÉRE;PR;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;10726;4777;2023-03-31 10:03:12
2018;GOIANORTE;TO;NORTE;2;JAIR MESSIAS BOLSONARO;Presidente;2826;1146;2023-03-31 10:03:12
2018;CASTANHAL;PA;NORTE;2;HELDER ZAHLUTH BARBALHO;Governador;92253;37118;2023-03-31 10:03:12
2018;CATURITÉ;PB;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;3635;843;2023-03-31 10:03:12
2018;COLINAS DO SUL;GO;CENTRO-OESTE;2;FERNANDO HADDAD;Presidente;1963;1424;2023-03-31 10:03:12
2018;JACAREACANGA;PA;NORTE;2;JAIR MESSIAS BOLSONARO;Presidente;5789;1419;2023-03-31 10:03:12
2018;IPAUSSU;SP;SUDESTE;2;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;Governador;7003;3162;2023-03-31 10:03:12
2018;IBIAM;SC;SUL;2;CARLOS MOISÉS DA SILVA;Governador;1321;828;2023-03-31 10:03:12
2018;RIO DAS FLORES;RJ;SUDESTE;2;FERNANDO HADDAD;Presidente;5580;2881;2023-03-31 10:03:12
2018;CAMBUÍ;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;13918;4163;2023-03-31 10:03:12
2018;NOVA OLINDA;TO;NORTE;2;FERNANDO HADDAD;Presidente;5720;3277;2023-03-31 10:03:12
2018;DERRUBADAS;RS;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;2036;1076;2023-03-31 10:03:12
2018;AVELINO LOPES;PI;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;6613;1169;2023-03-31 10:03:12
2018;LÁBREA;AM;NORTE;2;WILSON MIRANDA LIMA;Governador;14889;5792;2023-03-31 10:03:12
2018;CAAPIRANGA;AM;NORTE;2;JAIR MESSIAS BOLSONARO;Presidente;4836;1387;2023-03-31 10:03:12
2018;CARUARU;PE;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;168258;77455;2023-03-31 10:03:12
2018;SANTO ANTÔNIO DOS LOPES;MA;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;9749;2324;2023-03-31 10:03:12
2018;ESMERALDAS;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;31426;14139;2023-03-31 10:03:12
2018;VITOR MEIRELES;SC;SUL;2;FERNANDO HADDAD;Presidente;3166;985;2023-03-31 10:03:12
2018;ITUVERAVA;SP;SUDESTE;2;MARCIO LUIZ FRANÇA GOMES;Governador;17337;7125;2023-03-31 10:03:12
2018;ELISIÁRIO;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;2037;1593;2023-03-31 10:03:12
2018;PAVÃO;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;3545;2306;2023-03-31 10:03:12
2018;TORONTO;ZZ;EXTERIOR;2;FERNANDO HADDAD;Presidente;5426;1581;2023-03-31 10:03:12
2018;DUBLIN;ZZ;EXTERIOR;2;FERNANDO HADDAD;Presidente;947;510;2023-03-31 10:03:12
2018;JENIPAPO DE MINAS;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;2720;1948;2023-03-31 10:03:12
2018;MONÇÕES;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;1339;900;2023-03-31 10:03:12
2018;SÃO MIGUEL DO GUAPORÉ;RO;NORTE;2;JAIR MESSIAS BOLSONARO;Presidente;11002;7386;2023-03-31 10:03:12
2018;NITERÓI;RJ;SUDESTE;2;FERNANDO HADDAD;Presidente;281336;105606;2023-03-31 10:03:12
2018;TONANTINS;AM;NORTE;2;WILSON MIRANDA LIMA;Governador;6378;2703;2023-03-31 10:03:12
2018;ITAÚNA;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;45855;9460;2023-03-31 10:03:12
2018;VOLTA REDONDA;RJ;SUDESTE;2;EDUARDO DA COSTA PAES;Governador;141018;44053;2023-03-31 10:03:12
2018;PARANAPUÃ;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;2204;698;2023-03-31 10:03:12
2018;RIO VERDE;GO;CENTRO-OESTE;2;FERNANDO HADDAD;Presidente;95448;31363;2023-03-31 10:03:12
2018;BARRO ALTO;BA;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;6984;1091;2023-03-31 10:03:12
2018;PIACATU;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;3396;930;2023-03-31 10:03:12
2018;GUARUJÁ DO SUL;SC;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;3060;1960;2023-03-31 10:03:12
2018;MARACAJU;MS;CENTRO-OESTE;2;FERNANDO HADDAD;Presidente;19818;6414;2023-03-31 10:03:12
2018;LIDIANÓPOLIS;PR;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;2483;1547;2023-03-31 10:03:12
2018;ERVAL GRANDE;RS;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;3204;1530;2023-03-31 10:03:12
2018;COCALINHO;MT;CENTRO-OESTE;2;FERNANDO HADDAD;Presidente;2507;1174;2023-03-31 10:03:12
2018;SÃO BERNARDO DO CAMPO;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;433553;175284;2023-03-31 10:03:12
2018;SOLEDADE;PB;NORDESTE;2;FERNANDO HADDAD;Presidente;7923;5688;2023-03-31 10:03:12
2018;CAMBUQUIRA;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;6550;2235;2023-03-31 10:03:12
2018;CAIEIRAS;SP;SUDESTE;2;MARCIO LUIZ FRANÇA GOMES;Governador;42967;24238;2023-03-31 10:03:12
2018;SÃO MIGUEL DO ANTA;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;4075;2670;2023-03-31 10:03:12
2018;CAPUTIRA;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;4473;1292;2023-03-31 10:03:12
2018;TRÊS BARRAS DO PARANÁ;PR;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;6847;3889;2023-03-31 10:03:12
2018;SÃO JOSÉ DO GOIABAL;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;2828;1803;2023-03-31 10:03:12
2018;SÃO GABRIEL DA CACHOEIRA;AM;NORTE;2;WILSON MIRANDA LIMA;Governador;16988;6332;2023-03-31 10:03:12
2018;PIRAJUBA;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;2801;1463;2023-03-31 10:03:12
2018;WAGNER;BA;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;4542;1005;2023-03-31 10:03:12
2018;PENDÊNCIAS;RN;NORDESTE;2;MARIA DE FATIMA BEZERRA;Governador;7589;5701;2023-03-31 10:03:12
2018;CAÇU;GO;CENTRO-OESTE;2;JAIR MESSIAS BOLSONARO;Presidente;7039;4610;2023-03-31 10:03:12
2018;NOVO MUNDO;MT;CENTRO-OESTE;2;FERNANDO HADDAD;Presidente;3382;1153;2023-03-31 10:03:12
2018;CAPELA DE SANTANA;RS;SUL;2;FERNANDO HADDAD;Presidente;5433;2237;2023-03-31 10:03:12
2018;ORIXIMINÁ;PA;NORTE;2;HELDER ZAHLUTH BARBALHO;Governador;26395;16154;2023-03-31 10:03:12
2018;ALTINHO;PE;NORDESTE;2;FERNANDO HADDAD;Presidente;12113;9491;2023-03-31 10:03:12
2018;COLINAS;MA;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;18565;2917;2023-03-31 10:03:12
2018;LARANJAL PAULISTA;SP;SUDESTE;2;MARCIO LUIZ FRANÇA GOMES;Governador;13242;3275;2023-03-31 10:03:12
2018;SANTA ERNESTINA;SP;SUDESTE;2;MARCIO LUIZ FRANÇA GOMES;Governador;3362;1995;2023-03-31 10:03:12
2018;IGARAPAVA;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;13045;5004;2023-03-31 10:03:12
2018;BILAC;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;4616;852;2023-03-31 10:03:12
2018;JANDIRA;SP;SUDESTE;2;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;Governador;51135;23499;2023-03-31 10:03:12
2018;FELIZ;RS;SUL;2;EDUARDO FIGUEIREDO CAVALHEIRO LEITE;Governador;8129;2907;2023-03-31 10:03:12
2018;LAJEDÃO;BA;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;2919;1186;2023-03-31 10:03:12
2018;MONTE ALEGRE DO SUL;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;4213;3389;2023-03-31 10:03:12
2018;ARACAJU;SE;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;295495;139603;2023-03-31 10:03:12
2018;NOVA FRIBURGO;RJ;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;98664;71859;2023-03-31 10:03:12
2018;TAPEROÁ;BA;NORDESTE;2;FERNANDO HADDAD;Presidente;8824;7037;2023-03-31 10:03:12
2018;DIVINO DAS LARANJEIRAS;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;2739;1177;2023-03-31 10:03:12
2018;MUITOS CAPÕES;RS;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;1752;1326;2023-03-31 10:03:12
2018;GAURAMA;RS;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;4144;3015;2023-03-31 10:03:12
2018;BELTERRA;PA;NORTE;2;HELDER ZAHLUTH BARBALHO;Governador;9904;4658;2023-03-31 10:03:12
2018;ANTÔNIO CARLOS;SC;SUL;2;CARLOS MOISÉS DA SILVA;Governador;6358;4934;2023-03-31 10:03:12
2018;PARNAMIRIM;PE;NORDESTE;2;FERNANDO HADDAD;Presidente;12655;11606;2023-03-31 10:03:12
2018;SÃO BENTO DO SUL;SC;SUL;2;CARLOS MOISÉS DA SILVA;Governador;45213;36104;2023-03-31 10:03:12
2018;BARRA BONITA;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;20617;4666;2023-03-31 10:03:12
